"node__id","node__name","node__variants__stocks__quantity","node__variants__stocks__warehouse__name"
"","","8","DE_MUC_MAXV"
"","","8","DE_NRM_MAXF"
"UHJvZHVjdDozMzUz","Always Sensitive Protect Normal 76er ","4","Hamburg Oellkersallee"
"","","4","München Leopoldstraße"
"","","4","DE_MUC_MAXV"
"","","4","DE_NRM_MAXF"
"UHJvZHVjdDozMzUy","Always Sensitive Slim Fresh 100er","0","Hamburg Oellkersallee"
"","","5","München Leopoldstraße"
"","","5","DE_MUC_MAXV"
"","","5","DE_NRM_MAXF"
"UHJvZHVjdDoyNTM1","Ananas Sweet Kl.I (Costa Rica) 1 Stk.","0","Hamburg Oellkersallee"
"","","1","München Leopoldstraße"
"","","2","DE_MUC_MAXV"
"","","2","DE_NRM_MAXF"
"UHJvZHVjdDoyNzI0","Andechser Bio Bergblumenkäse in Scheiben 50% 125g","6","Hamburg Oellkersallee"
"","","8","München Leopoldstraße"
"","","12","DE_MUC_MAXV"
"","","4","DE_NRM_MAXF"
"UHJvZHVjdDoyNzM1","Andechser Bio Camembert 100g","2","Hamburg Oellkersallee"
"","","4","München Leopoldstraße"
"","","0","DE_MUC_MAXV"
"","","4","DE_NRM_MAXF"
"UHJvZHVjdDoyNzUz","Andechser Bio Frischkäse Kräuter 65% 175g","5","Hamburg Oellkersallee"
"","","5","München Leopoldstraße"
"UHJvZHVjdDoyNzUy","Andechser Bio Frischkäse Natur 65% 175g","4","Hamburg Oellkersallee"
"","","4","München Leopoldstraße"
"","","5","DE_MUC_MAXV"
"","","5","DE_NRM_MAXF"
"UHJvZHVjdDoyNzIz","Andechser Bio Gouda Scheiben 48%150g","0","Hamburg Oellkersallee"
"","","10","München Leopoldstraße"
"UHJvZHVjdDoyNjM5","Andechser Bio Joghurt Himbeere 3,7% 100g","0","Hamburg Oellkersallee"
"","","6","München Leopoldstraße"
"","","4","DE_MUC_MAXV"
"","","4","DE_NRM_MAXF"
"UHJvZHVjdDoyNjQy","Andechser Bio Joghurt Himbeere 3,7% 4x100g","0","Hamburg Oellkersallee"
"","","4","München Leopoldstraße"
"UHJvZHVjdDoyNjQw","Andechser Bio Joghurt Mango 3,7% 100g","0","Hamburg Oellkersallee"
"","","0","München Leopoldstraße"
"","","4","DE_MUC_MAXV"
"","","4","DE_NRM_MAXF"
"UHJvZHVjdDoyNjQx","Andechser Bio Joghurt Mango 4x100G","0","Hamburg Oellkersallee"
"","","5","München Leopoldstraße"
"UHJvZHVjdDoyNjM3","Andechser Bio Joghurt Mild 3,8% 100g","0","Hamburg Oellkersallee"
"","","9","München Leopoldstraße"
"","","8","DE_MUC_MAXV"
"","","8","DE_NRM_MAXF"
"UHJvZHVjdDoyNjM4","Andechser Bio Joghurt Vanille 3,7% 100g","0","Hamburg Oellkersallee"
"","","0","München Leopoldstraße"
"","","8","DE_MUC_MAXV"
"","","8","DE_NRM_MAXF"
"UHJvZHVjdDoyNjgw","Andechser Bio Kefir 1,5% 500g","0","Hamburg Oellkersallee"
"","","6","München Leopoldstraße"
"","","0","DE_MUC_MAXV"
"","","0","DE_NRM_MAXF"
"UHJvZHVjdDoyNzUx","Andechser Bio Körniger Frischkäse 200g","0","Hamburg Oellkersallee"
"","","5","München Leopoldstraße"
"UHJvZHVjdDoyNzI1","Andechser Bioländer Scheiben 45% 150g","9","Hamburg Oellkersallee"
"","","9","München Leopoldstraße"
"","","2","DE_MUC_MAXV"
"","","2","DE_NRM_MAXF"
"UHJvZHVjdDoyNjM2","Andechser Bio Lassi Mango 250g","0","Hamburg Oellkersallee"
"","","8","München Leopoldstraße"
"","","0","DE_MUC_MAXV"
"","","0","DE_NRM_MAXF"
"UHJvZHVjdDoyNjUy","Andechser Bio Magerquark 250g","0","Hamburg Oellkersallee"
"","","3","München Leopoldstraße"
"","","5","DE_MUC_MAXV"
"","","5","DE_NRM_MAXF"
"UHJvZHVjdDoyNjUz","Andechser Bio Speisequark 20% 500g","0","Hamburg Oellkersallee"
"","","6","München Leopoldstraße"
"UHJvZHVjdDoyNjk2","Aoste Edelsalami 225g","8","Hamburg Oellkersallee"
"","","10","München Leopoldstraße"
"UHJvZHVjdDoyNjk3","Aoste Rustikado Hähnchen 70g","0","Hamburg Oellkersallee"
"","","7","München Leopoldstraße"
"UHJvZHVjdDoyNjk4","Aoste Rustikado Klassik 70g","4","Hamburg Oellkersallee"
"UHJvZHVjdDozNzgy","Aperol Aperitivo 11% 0,7L","7","Hamburg Oellkersallee"
"","","6","München Leopoldstraße"
"","","6","DE_MUC_MAXV"
"","","6","DE_NRM_MAXF"
"UHJvZHVjdDozOTIz","Apfel Gala","",""
"UHJvZHVjdDoyNTM3","Apfel Golden Delicious Kl.I (Italien) 1 Stk.","63","Hamburg Oellkersallee"
"","","20","München Leopoldstraße"
"","","0","DE_MUC_MAXV"
"","","0","DE_NRM_MAXF"
"UHJvZHVjdDoyNTM2","Apfel Granny Smith Apfel Kl.I (Italien) 1 Stk.","52","Hamburg Oellkersallee"
"","","41","München Leopoldstraße"
"","","24","DE_MUC_MAXV"
"","","0","DE_NRM_MAXF"
"UHJvZHVjdDozNTQx","Aquasale Meersalz 250g","7","Hamburg Oellkersallee"
"","","8","München Leopoldstraße"
"","","8","DE_MUC_MAXV"
"","","8","DE_NRM_MAXF"
"UHJvZHVjdDozNzk2","Arizona Cranberry 0,68L ","24","Hamburg Oellkersallee"
"","","24","München Leopoldstraße"
"","","24","DE_MUC_MAXV"
"","","24","DE_NRM_MAXF"
"UHJvZHVjdDozNzk3","Arizona Half+Half 0,68L","24","Hamburg Oellkersallee"
"","","24","München Leopoldstraße"
"","","0","DE_MUC_MAXV"
"","","0","DE_NRM_MAXF"
"UHJvZHVjdDozNzk1","Arizona Watermelon 0,68L","24","Hamburg Oellkersallee"
"","","24","München Leopoldstraße"
"","","24","DE_MUC_MAXV"
"","","24","DE_NRM_MAXF"
"UHJvZHVjdDoyNjA5","Arla Butter Kaergarden Gesalzen 250g","17","Hamburg Oellkersallee"
"","","20","München Leopoldstraße"
"","","4","DE_MUC_MAXV"
"","","4","DE_NRM_MAXF"
"UHJvZHVjdDoyNjEw","Arla Kaergarden Ungesalzen 250g","0","Hamburg Oellkersallee"
"","","20","München Leopoldstraße"
"","","4","DE_MUC_MAXV"
"","","4","DE_NRM_MAXF"
"UHJvZHVjdDozODE3","Arla Skyr Erdbeer 450G","6","Hamburg Oellkersallee"
"","","5","München Leopoldstraße"
"UHJvZHVjdDozODE1","Arla Skyr Natur 450G","6","Hamburg Oellkersallee"
"","","5","München Leopoldstraße"
"","","1","DE_MUC_MAXV"
"UHJvZHVjdDozODE2","Arla Skyr Vanille 450G","6","Hamburg Oellkersallee"
"","","5","München Leopoldstraße"
"","","2","DE_MUC_MAXV"
"UHJvZHVjdDoyOTAw","Astra Urtyp Pils 4,9% 0,33L","0","Hamburg Oellkersallee"
"","","6","München Leopoldstraße"
"","","18","DE_MUC_MAXV"
"","","18","DE_NRM_MAXF"
"UHJvZHVjdDozOTI3","Augustiner Lagerbier Hell 0,5L","34","München Leopoldstraße"
"","","0","DE_MUC_MAXV"
"","","20","DE_NRM_MAXF"
"UHJvZHVjdDozNTky","Aurora Dinkelmehl Type 1050 1kg","8","Hamburg Oellkersallee"
"","","4","München Leopoldstraße"
"","","5","DE_MUC_MAXV"
"","","5","DE_NRM_MAXF"
"UHJvZHVjdDozNTkz","Aurora Dinkel Vollkornmehl 1kg","9","Hamburg Oellkersallee"
"","","4","München Leopoldstraße"
"","","5","DE_MUC_MAXV"
"","","5","DE_NRM_MAXF"
"UHJvZHVjdDozNTk0","Aurora Pizzamehl 1kg","9","Hamburg Oellkersallee"
"","","5","München Leopoldstraße"
"","","5","DE_MUC_MAXV"
"","","5","DE_NRM_MAXF"
"UHJvZHVjdDozNTk1","Aurora Weizenmehl 1kg","9","Hamburg Oellkersallee"
"","","4","München Leopoldstraße"
"","","5","DE_MUC_MAXV"
"","","5","DE_NRM_MAXF"
"UHJvZHVjdDozNTk2","Aurora Weizen-Mehl Type 550 1kg","9","Hamburg Oellkersallee"
"","","4","München Leopoldstraße"
"","","5","DE_MUC_MAXV"
"","","5","DE_NRM_MAXF"
"UHJvZHVjdDozODgx","Avocado Kl.II (Kolumbien) 1 Stk.","0","München Leopoldstraße"
"","","11","Hamburg Oellkersallee"
"UHJvZHVjdDozNzA5","Axe Black Deodorant & Bodyspray Aluminiumfrei 150ml","2","Hamburg Oellkersallee"
"UHJvZHVjdDozODcy","Baby Spinat 100g (Italien)","0","München Leopoldstraße"
"","","2","DE_MUC_MAXV"
"","","2","DE_NRM_MAXF"
"UHJvZHVjdDoyOTI2","Bacardi Carta Bl 37,5% 0,7L","5","Hamburg Oellkersallee"
"","","6","München Leopoldstraße"
"","","6","DE_MUC_MAXV"
"","","0","DE_NRM_MAXF"
"UHJvZHVjdDoyOTE5","Bacardi Carta Oro 37,5% 0,7L","6","Hamburg Oellkersallee"
"","","6","München Leopoldstraße"
"","","6","DE_MUC_MAXV"
"","","6","DE_NRM_MAXF"
"UHJvZHVjdDozOTIy","Bäckertoast 1 Stk.","",""
"UHJvZHVjdDozODQ1","1 Stk. - Wimmer Bäckertoast ","0","München Leopoldstraße"
"UHJvZHVjdDozNTM3","Bad Reichenhaller Alpensalz 500g","23","Hamburg Oellkersallee"
"","","24","München Leopoldstraße"
"","","24","DE_MUC_MAXV"
"","","24","DE_NRM_MAXF"
"UHJvZHVjdDozNTM4","Bad Reichenhaller Alpensalz Jodsalz 500g","24","Hamburg Oellkersallee"
"","","24","München Leopoldstraße"
"UHJvZHVjdDozNTM5","Bad Reichenhaller Jodsalz Fluorid+Folsäure 500g","23","Hamburg Oellkersallee"
"","","24","München Leopoldstraße"
"","","24","DE_MUC_MAXV"
"","","0","DE_NRM_MAXF"
"UHJvZHVjdDozNTQw","Bad Reichenhaller Kräuter-Salz 90g","7","Hamburg Oellkersallee"
"","","8","München Leopoldstraße"
"","","8","DE_MUC_MAXV"
"","","8","DE_NRM_MAXF"
"UHJvZHVjdDozMjQ4","Bahlsen Leibniz Butterkeks 200g","24","Hamburg Oellkersallee"
"","","24","München Leopoldstraße"
"","","24","DE_MUC_MAXV"
"","","24","DE_NRM_MAXF"
"UHJvZHVjdDozMjQ0","Bahlsen Leibniz Butterkeks 30%weniger Zucker 150g","20","Hamburg Oellkersallee"
"","","20","München Leopoldstraße"
"","","0","DE_MUC_MAXV"
"","","20","DE_NRM_MAXF"
"UHJvZHVjdDozNzA0","Bahlsen Leibniz Choco Vollmilch 125g","5","Hamburg Oellkersallee"
"UHJvZHVjdDozMjQ2","Bahlsen Leibniz Haferkeks 230g","20","Hamburg Oellkersallee"
"","","20","München Leopoldstraße"
"","","20","DE_MUC_MAXV"
"","","20","DE_NRM_MAXF"
"UHJvZHVjdDozMjQ1","Bahlsen Leibniz Mini-Schoko-Keks 125g","2","Hamburg Oellkersallee"
"","","10","München Leopoldstraße"
"","","12","DE_MUC_MAXV"
"","","12","DE_NRM_MAXF"
"UHJvZHVjdDozMjQ3","Bahlsen Leibniz Vollkorn Butterkeks 200g","20","Hamburg Oellkersallee"
"","","20","München Leopoldstraße"
"","","20","DE_MUC_MAXV"
"","","20","DE_NRM_MAXF"
"UHJvZHVjdDozMjQ5","Bahlsen Leibniz Zoo 125g ","12","Hamburg Oellkersallee"
"","","12","München Leopoldstraße"
"","","12","DE_MUC_MAXV"
"","","12","DE_NRM_MAXF"
"UHJvZHVjdDozODYx","Bananen 1 Stk.","0","München Leopoldstraße"
"","","5","Hamburg Oellkersallee"
"","","22","DE_MUC_MAXV"
"","","4","DE_NRM_MAXF"
"UHJvZHVjdDozODA5","Barebells Protein Bar Brownie 35G","15","Hamburg Oellkersallee"
"","","18","München Leopoldstraße"
"","","18","DE_MUC_MAXV"
"","","18","DE_NRM_MAXF"
"UHJvZHVjdDozODEx","Barebells Protein Bar Cashew Caramel 55G","0","Hamburg Oellkersallee"
"","","12","München Leopoldstraße"
"","","12","DE_MUC_MAXV"
"","","12","DE_NRM_MAXF"
"UHJvZHVjdDozODEy","Barebells Protein Bar Cookies Cream 55G","12","Hamburg Oellkersallee"
"","","12","München Leopoldstraße"
"","","12","DE_MUC_MAXV"
"","","12","DE_NRM_MAXF"
"UHJvZHVjdDozODA3","Barebells Protein Bar Crunchy Fudge 55G","12","Hamburg Oellkersallee"
"","","12","München Leopoldstraße"
"","","0","DE_MUC_MAXV"
"","","12","DE_NRM_MAXF"
"UHJvZHVjdDozODEw","Barebells Protein Bar Hazelnut Nougat 55G","12","Hamburg Oellkersallee"
"","","11","München Leopoldstraße"
"","","12","DE_MUC_MAXV"
"","","12","DE_NRM_MAXF"
"UHJvZHVjdDozODA4","Barebells Protein Bar Toffee Core 35G","18","Hamburg Oellkersallee"
"","","18","München Leopoldstraße"
"","","18","DE_MUC_MAXV"
"","","18","DE_NRM_MAXF"
"UHJvZHVjdDoyNjgz","Bärenmarke Die Ergiebige 340g","20","Hamburg Oellkersallee"
"","","20","München Leopoldstraße"
"UHJvZHVjdDoyNjgy","Bärenmarke Die Leichte  340g","20","Hamburg Oellkersallee"
"","","20","München Leopoldstraße"
